tab,group,label,key,modes,current_tier,recommended_tier,changes,why,your_call,move_to
world,Look,Background,backgroundTheme,normal platformer arena sandbox,basic,basic,,feature on/off or an up-front design choice,stay basic - move to Display,World - Display
world,Day / Night,Day Length,dayCycleMinutes,normal platformer sandbox,basic,basic,,feature on/off or an up-front design choice,,
world,Day / Night,Night Spawn Boost,nightSpawnBoost,normal platformer sandbox,basic,basic,,feature on/off or an up-front design choice,,
world,Day / Night,Night Spawn Rate,nightSpawnRate,normal platformer sandbox,advanced,advanced,,child knob of a toggle above it,,
world,Day / Night,Full-Moon Mob HP,fullMoonHpBoost,normal platformer sandbox,basic,basic,,feature on/off or an up-front design choice,,
world,Day / Night,Full-Moon HP Boost,fullMoonHpAmount,normal platformer sandbox,advanced,advanced,,child knob of a toggle above it,,
world,Enemies,Jump Attack (stomp),jumpAttack,normal platformer sandbox,basic,basic,,feature on/off or an up-front design choice,keep basic but move tabs,Combat: Special Moves
debug,Overlays,Performance HUD,perfHud,normal platformer speedrunner arena sandbox,basic,advanced,YES,developer overlay — not player-facing,This whole tab should be hidden is advanced isn't enabled. ,
debug,Overlays,Show Bot / Mob Paths,showBotPaths,normal platformer speedrunner arena sandbox,basic,advanced,YES,developer overlay — not player-facing,This whole tab should be hidden is advanced isn't enabled. ,
debug,Overlays,Show Nav Grid (solid cells),showNavGrid,normal platformer speedrunner arena sandbox,basic,advanced,YES,developer overlay — not player-facing,This whole tab should be hidden is advanced isn't enabled. ,
world,Display,Default Zoom,worldZoom,normal platformer arena sandbox,basic,basic,,feature on/off or an up-front design choice,,
world,Players,Companion Summon (press C),companionTeleport,normal platformer sandbox,basic,basic,,feature on/off or an up-front design choice,keep basic but move tabs and rename Bot companion summon. ,Multiplayer (NEW TAB)
world,Players,Summon Distance,companionTeleportRange,normal platformer sandbox,basic,advanced,YES,numeric tuning of an already-working default,Advanced,Multiplayer (NEW TAB)
world,Players,If Companion Gets Stuck,companionStuckBehavior,normal platformer sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,Advanced (Defatul Teleport to player),Multiplayer (NEW TAB)
world,Players,Players Pass Through,playersPassThrough,normal platformer sandbox,basic,basic,,feature on/off or an up-front design choice,Keep basic,Multiplayer (NEW TAB)
world,Scoring,Collect Emeralds,platformerEmeralds,platformer sandbox,basic,basic,,feature on/off or an up-front design choice,,
world,Scoring,Score / Points,platformerScore,platformer sandbox,basic,basic,,feature on/off or an up-front design choice,,
world,Scoring,Points / Emerald,emeraldPoints,platformer sandbox,advanced,advanced,,child knob of a toggle above it,,
world,Scoring,Level-Clear Bonus,goalClearPoints,platformer sandbox,advanced,advanced,,child knob of a toggle above it,,
world,Designer Locks,Lock Physics,physicsLocked,sandbox,advanced,advanced,,fine-tuning group behind a working default,default on,
world,Designer Locks,Lock Boss Scaling,bossScalingLocked,sandbox,advanced,advanced,,fine-tuning group behind a working default,,
movement,Physics,Gravity,physicsGravity,normal platformer arena sandbox,basic,basic,,feature on/off or an up-front design choice,,
movement,Physics,Jump Height,jumpHeightBlocks,normal platformer arena sandbox,basic,basic,,feature on/off or an up-front design choice,,
movement,Physics,Jump-Pad Force,jumpPadVForce,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
movement,Physics,Platform Launch Accel,platformLaunchAccel,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
movement,Physics,Platform Launch Lift,platformLaunchLift,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
world,Redstone,Redstone Speed,redstoneSpeed,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
movement,Physics,Disable XP Speed Boost,disableXpSpeedBoost,normal platformer arena sandbox,advanced,basic,YES,a feature switch a designer decides deliberately,Agreed,
movement,Moves,Sprint,sprintEnabled,normal platformer arena sandbox,basic,basic,,feature on/off or an up-front design choice,,
movement,Moves,Auto-Climb,autoStepUp,normal platformer arena sandbox,basic,basic,,feature on/off or an up-front design choice,,
movement,Moves,Double Jump,airJumpEnabled,normal platformer arena sandbox,basic,basic,,feature on/off or an up-front design choice,,
movement,Moves,Double Jump Style,doubleJumpStyle,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Moves,Wall Slide,wallSlideEnabled,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
movement,Moves,Wall-Jump Lock-Away,wallJumpLockAway,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Moves,Ledge Hang,ledgeHangEnabled,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
movement,Moves,Climb Speed,climbSpeed,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Moves,Ladder: Lock Sideways,ladderLockX,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
movement,Moves,Ladder: Jump Off Mid-Climb,ladderMidJump,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
movement,Moves,Bar: Press Up to Grab,barRequireGrab,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,"I might suggest invesrting this to ""Auto grip Bar"", when it's on, the player automatically grabs it, when it's off, they have to press up to grab it. ",
movement,Moves,Bar: Traverse Speed,barMoveSpeed,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
movement,Moves,Bar: Traverse Style,barTraverseStyle,normal platformer arena sandbox,advanced,basic,YES,picks a mode/behaviour rather than tuning it,,
movement,Moves,Crumble Block Time,crumbleSeconds,normal platformer arena sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,Move to world,
movement,Moves,Conveyor Speed,conveyorSpeed,normal platformer arena sandbox,basic,advanced,YES,numeric tuning of an already-working default,Let's keep it basic,"Lets come up with a section name that could include conveyers, tubes, moving platforms (if we add settings)"
movement,Moves,Travel Tube Speed,tubeDefaultSpeed,normal platformer arena sandbox,advanced,advanced,,numeric tuning of an already-working default,,
movement,Moves,Travel Tube: Rounded Bends,tubeRoundedCorners,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
movement,Moves,Travel Tube: Block Style,tubeBlockStyle,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
movement,Moves,Trampoline: Jump to Boost,trampJumpBoost,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
movement,Moves,Trampoline: Early-Jump Penalty,trampEarlyPenalty,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Moves,Block Contents,questionContents,normal platformer arena sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,"Is this still needed? I think this is now set per block. If we do still need it, it should move to World. ",
movement,Moves,Glass Shatters,glassShatter,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,Move to World,
movement,Moves,Ground Slide,slideEnabled,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,Move this (and the 3 below) to between Double Jump and Wall Slide. ,
movement,Moves,Slide Invincible,slideInvincible,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Moves,Slide Length,slideDurationFrames,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Moves,Slide Speed,slideSpeedMult,normal platformer arena sandbox,advanced,advanced,,child knob of a toggle above it,,
movement,Moves,Look-Up Aim (Up/W),aimUpEnabled,normal platformer arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
speedrun,Pace,Base Speed,srBaseSpeed,speedrunner sandbox,basic,advanced,YES,numeric tuning of an already-working default,Keep as basic,
speedrun,Pace,Max Speed,srMaxMultiplier,speedrunner sandbox,basic,advanced,YES,numeric tuning of an already-working default,keep as basic,
speedrun,Pace,Acceleration,srAccel,speedrunner sandbox,basic,advanced,YES,numeric tuning of an already-working default,keep as basic,
speedrun,Pace,Deceleration,srDecel,speedrunner sandbox,advanced,basic,YES,picks a mode/behaviour rather than tuning it,agreed,
speedrun,Boosts,Boost Amount,srBoostPct,speedrunner sandbox,advanced,advanced,,numeric tuning of an already-working default,,
speedrun,Boosts,Time Boost,srTimeBoostEnabled,speedrunner sandbox,basic,basic,,a feature switch a designer decides deliberately,,
speedrun,Boosts,Time Boost Every,srTimeBoostIntervalSec,speedrunner sandbox,advanced,advanced,,child knob of a toggle above it,,
speedrun,Boosts,Distance Boost,srDistBoostEnabled,speedrunner sandbox,basic,basic,,a feature switch a designer decides deliberately,,
speedrun,Boosts,Distance Boost Every,srDistBoostIntervalBlocks,speedrunner sandbox,advanced,advanced,,child knob of a toggle above it,,
speedrun,Camera,Zoom-Out Start,srMinZoomSpeed,speedrunner sandbox,advanced,basic,YES,picks a mode/behaviour rather than tuning it,agreed,
speedrun,Camera,Zoom-Out Max,srMaxZoomSpeed,speedrunner sandbox,advanced,basic,YES,picks a mode/behaviour rather than tuning it,agreed,
arena,Camera,World View,arenaViewType,arena sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,,
arena,Camera,Zoom Mode,arenaZoomMode,arena sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,,
arena,Camera,Preset Zoom,arenaPresetZoom,arena sandbox,basic,advanced,YES,child knob of a toggle above it,Keep as basic,
arena,Match,Player Health,arenaPlayerMaxHealth,arena sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,,
arena,Match,Mob Difficulty,arenaMobHealth,arena sandbox,basic,basic,,picks a mode/behaviour rather than tuning it,,
arena,Match,Respawn Delay,arenaRespawnTime,arena sandbox,basic,advanced,YES,numeric tuning of an already-working default,agreed,
arena,Game Types,Mob Hunter,arenaType_MOB_HUNTER,arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
arena,Game Types,Collect Emeralds,arenaType_COLLECT_EMERALDS,arena sandbox,basic,basic,,a feature switch a designer decides deliberately,,
