tab,group,label,key,modes,current_tier,recommended_tier,changes,why,your_call,move_to
"world","Display","Background","backgroundTheme","normal platformer arena sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"world","Day / Night","Day Length","dayCycleMinutes","normal platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"world","Day / Night","Night Spawn Boost","nightSpawnBoost","normal platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"world","Day / Night","Night Spawn Rate","nightSpawnRate","normal platformer sandbox","advanced","advanced","","child knob of a toggle above it","",""
"world","Day / Night","Full-Moon Mob HP","fullMoonHpBoost","normal platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"world","Day / Night","Full-Moon HP Boost","fullMoonHpAmount","normal platformer sandbox","advanced","advanced","","child knob of a toggle above it","",""
"combat","Special Moves","Jump Attack (stomp)","jumpAttack","normal platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"debug","Overlays","Performance HUD","perfHud","normal platformer speedrunner arena sandbox","advanced","advanced","","developer overlay — not player-facing","",""
"debug","Overlays","Show Bot / Mob Paths","showBotPaths","normal platformer speedrunner arena sandbox","advanced","advanced","","developer overlay — not player-facing","",""
"debug","Overlays","Show Nav Grid (solid cells)","showNavGrid","normal platformer speedrunner arena sandbox","advanced","advanced","","developer overlay — not player-facing","",""
"world","Display","Default Zoom","worldZoom","normal platformer arena sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"multi","Companion","Bot Companion Summon (press C)","companionTeleport","normal platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"multi","Companion","Summon Distance","companionTeleportRange","normal platformer sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"multi","Companion","If Companion Gets Stuck","companionStuckBehavior","normal platformer sandbox","advanced","basic","YES","picks a mode/behaviour rather than tuning it","",""
"multi","Players","Players Pass Through","playersPassThrough","normal platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"world","Scoring","Collect Emeralds","platformerEmeralds","platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"world","Scoring","Score / Points","platformerScore","platformer sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"world","Scoring","Points / Emerald","emeraldPoints","platformer sandbox","advanced","advanced","","child knob of a toggle above it","",""
"world","Scoring","Level-Clear Bonus","goalClearPoints","platformer sandbox","advanced","advanced","","child knob of a toggle above it","",""
"world","Designer Locks","Lock Physics","physicsLocked","sandbox","advanced","advanced","","fine-tuning group behind a working default","",""
"world","Designer Locks","Lock Boss Scaling","bossScalingLocked","sandbox","advanced","advanced","","fine-tuning group behind a working default","",""
"movement","Physics","Gravity","physicsGravity","normal platformer arena sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"movement","Physics","Jump Height","jumpHeightBlocks","normal platformer arena sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"movement","Physics","Jump-Pad Force","jumpPadVForce","normal platformer arena sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"movement","Physics","Platform Launch Accel","platformLaunchAccel","normal platformer arena sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"movement","Physics","Platform Launch Lift","platformLaunchLift","normal platformer arena sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"world","Redstone","Redstone Speed","redstoneSpeed","normal platformer arena sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"movement","Physics","Disable XP Speed Boost","disableXpSpeedBoost","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Sprint","sprintEnabled","normal platformer arena sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"movement","Moves","Auto-Climb","autoStepUp","normal platformer arena sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"movement","Moves","Double Jump","airJumpEnabled","normal platformer arena sandbox","basic","basic","","feature on/off or an up-front design choice","",""
"movement","Moves","Double Jump Style","doubleJumpStyle","normal platformer arena sandbox","advanced","advanced","","child knob of a toggle above it","",""
"movement","Moves","Ground Slide","slideEnabled","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Slide Invincible","slideInvincible","normal platformer arena sandbox","advanced","advanced","","child knob of a toggle above it","",""
"movement","Moves","Slide Length","slideDurationFrames","normal platformer arena sandbox","advanced","advanced","","child knob of a toggle above it","",""
"movement","Moves","Slide Speed","slideSpeedMult","normal platformer arena sandbox","advanced","advanced","","child knob of a toggle above it","",""
"movement","Moves","Wall Slide","wallSlideEnabled","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Wall-Jump Lock-Away","wallJumpLockAway","normal platformer arena sandbox","advanced","advanced","","child knob of a toggle above it","",""
"movement","Moves","Ledge Hang","ledgeHangEnabled","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Climb Speed","climbSpeed","normal platformer arena sandbox","advanced","advanced","","child knob of a toggle above it","",""
"movement","Moves","Ladder: Lock Sideways","ladderLockX","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Ladder: Jump Off Mid-Climb","ladderMidJump","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Bar: Press Up to Grab","barRequireGrab","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Bar: Traverse Speed","barMoveSpeed","normal platformer arena sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"movement","Moves","Bar: Traverse Style","barTraverseStyle","normal platformer arena sandbox","advanced","basic","YES","picks a mode/behaviour rather than tuning it","",""
"world","Blocks","Crumble Block Time","crumbleSeconds","normal platformer arena sandbox","basic","basic","","picks a mode/behaviour rather than tuning it","",""
"movement","Transport","Conveyor Speed","conveyorSpeed","normal platformer arena sandbox","basic","advanced","YES","numeric tuning of an already-working default","",""
"movement","Transport","Travel Tube Speed","tubeDefaultSpeed","normal platformer arena sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"movement","Transport","Travel Tube: Rounded Bends","tubeRoundedCorners","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Transport","Travel Tube: Block Style","tubeBlockStyle","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Trampoline: Jump to Boost","trampJumpBoost","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Trampoline: Early-Jump Penalty","trampEarlyPenalty","normal platformer arena sandbox","advanced","advanced","","child knob of a toggle above it","",""
"world","Blocks","Block Contents","questionContents","normal platformer arena sandbox","basic","basic","","picks a mode/behaviour rather than tuning it","",""
"world","Blocks","Glass Shatters","glassShatter","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"movement","Moves","Look-Up Aim (Up/W)","aimUpEnabled","normal platformer arena sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"speedrun","Pace","Base Speed","srBaseSpeed","speedrunner sandbox","basic","advanced","YES","numeric tuning of an already-working default","",""
"speedrun","Pace","Max Speed","srMaxMultiplier","speedrunner sandbox","basic","advanced","YES","numeric tuning of an already-working default","",""
"speedrun","Pace","Acceleration","srAccel","speedrunner sandbox","basic","advanced","YES","numeric tuning of an already-working default","",""
"speedrun","Pace","Deceleration","srDecel","speedrunner sandbox","basic","basic","","picks a mode/behaviour rather than tuning it","",""
"speedrun","Boosts","Boost Amount","srBoostPct","speedrunner sandbox","advanced","advanced","","numeric tuning of an already-working default","",""
"speedrun","Boosts","Time Boost","srTimeBoostEnabled","speedrunner sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"speedrun","Boosts","Time Boost Every","srTimeBoostIntervalSec","speedrunner sandbox","advanced","advanced","","child knob of a toggle above it","",""
"speedrun","Boosts","Distance Boost","srDistBoostEnabled","speedrunner sandbox","basic","basic","","a feature switch a designer decides deliberately","",""
"speedrun","Boosts","Distance Boost Every","srDistBoostIntervalBlocks","speedrunner sandbox","advanced","advanced","","child knob of a toggle above it","",""
"speedrun","Camera","Zoom-Out Start","srMinZoomSpeed","speedrunner sandbox","basic","basic","","picks a mode/behaviour rather than tuning it","",""
"speedrun","Camera","Zoom-Out Max","srMaxZoomSpeed","speedrunner sandbox","basic","basic","","picks a mode/behaviour rather than tuning it","",""
